Post_ID,User_ID,Platform,Post_Type,Likes,Shares,Comments,Engagement_Score
11001,4072,Twitter,Video,4403,814,145,64
11002,4060,Instagram,Text,1969,116,675,25
11003,4046,Facebook,Image,2793,123,438,21
11004,4089,Facebook,Image,891,398,241,26
11005,4017,Instagram,Video,4470,792,580,25
11006,4093,Twitter,Image,2033,803,686,21
11007,4053,Twitter,Image,1364,714,560,17
11008,4008,Twitter,Video,128,50,482,93
11009,4079,Twitter,Video,1014,782,107,12
11010,4027,Facebook,Image,1799,323,225,25
11011,4046,Facebook,Text,4612,788,672,39
11012,4050,Facebook,Video,1518,140,630,32
11013,4071,Facebook,Text,4181,469,660,14
11014,4003,Facebook,Image,1198,786,661,93
11015,4093,Twitter,Video,3873,801,431,74
11016,4064,Twitter,Text,2474,333,654,39
11017,4044,Twitter,Video,3485,892,418,30
11018,4053,Twitter,Image,4049,963,454,93
11019,4024,Facebook,Text,3719,372,159,79
11020,4060,Facebook,Image,302,563,522,31
11021,4003,Facebook,Image,3952,493,649,91
11022,4020,Instagram,Video,4683,538,589,81
11023,4046,Twitter,Text,986,668,76,41
11024,4015,Twitter,Image,1863,750,508,42
11025,4025,Facebook,Image,4440,155,440,25
11026,4094,Twitter,Text,4909,290,253,85
11027,4078,Twitter,Image,3072,647,769,47
11028,4071,Facebook,Image,3124,143,319,23
11029,4017,Instagram,Text,1327,105,262,45
11030,4084,Instagram,Text,2408,419,596,32
11031,4009,Instagram,Text,3673,669,657,75
11032,4038,Facebook,Text,3291,657,553,94
11033,4048,Twitter,Video,4033,1,373,11
11034,4060,Facebook,Text,703,944,636,82
11035,4063,Facebook,Video,574,588,166,74
11036,4086,Twitter,Video,3232,643,752,84
11037,4002,Instagram,Video,4783,89,458,76
11038,4088,Instagram,Image,2632,344,279,61
11039,4072,Facebook,Video,3828,349,699,71
11040,4011,Instagram,Video,3230,458,301,32
11041,4064,Facebook,Image,488,262,530,35
11042,4077,Facebook,Image,1347,350,579,77
11043,4081,Twitter,Image,3681,107,217,91
11044,4072,Twitter,Text,3173,585,101,64
11045,4021,Twitter,Image,4589,38,553,15
11046,4018,Facebook,Image,1667,908,287,44
11047,4094,Twitter,Video,1637,158,166,31
11048,4064,Instagram,Image,4114,582,620,52
11049,4082,Instagram,Text,3553,958,35,24
11050,4095,Facebook,Image,1000,311,743,95
11051,4038,Facebook,Text,850,240,740,69
11052,4032,Twitter,Image,1388,937,352,21
11053,4011,Facebook,Image,3712,444,675,58
11054,4045,Facebook,Image,1367,297,72,51
11055,4089,Instagram,Image,821,951,647,47
11056,4033,Instagram,Text,454,35,352,91
11057,4041,Twitter,Text,1624,83,69,54
11058,4008,Facebook,Video,2772,451,424,44
11059,4011,Facebook,Text,3726,885,707,39
11060,4086,Instagram,Image,3147,774,780,97
11061,4051,Facebook,Video,4089,821,560,39
11062,4088,Instagram,Video,4806,384,641,87
11063,4041,Twitter,Video,2190,171,516,15
11064,4017,Instagram,Image,916,375,427,76
11065,4076,Facebook,Text,3986,684,538,89
11066,4046,Twitter,Image,2875,361,159,16
11067,4032,Instagram,Video,1440,558,148,61
11068,4079,Instagram,Image,4400,890,775,23
11069,4080,Twitter,Image,735,140,229,82
11070,4054,Twitter,Text,3568,886,711,24
11071,4086,Instagram,Text,3338,917,561,30
11072,4092,Facebook,Video,3015,117,66,44
11073,4020,Instagram,Image,2889,276,380,75
11074,4033,Twitter,Image,961,725,57,11
11075,4074,Instagram,Text,2989,219,258,44
11076,4040,Twitter,Image,3848,904,341,91
11077,4032,Twitter,Image,1026,25,129,87
11078,4097,Facebook,Image,3865,520,726,29
11079,4002,Twitter,Text,2863,782,171,91
11080,4097,Twitter,Video,2501,9,769,19
11081,4033,Facebook,Video,1947,983,613,34
11082,4077,Twitter,Image,1177,377,208,75
11083,4030,Facebook,Video,4760,632,353,34
11084,4033,Facebook,Text,11,636,470,63
11085,4077,Twitter,Text,4399,681,797,42
11086,4026,Twitter,Video,3364,583,115,45
11087,4022,Instagram,Video,3022,151,263,23
11088,4066,Facebook,Image,3371,719,661,74
11089,4038,Instagram,Video,2830,48,441,89
11090,4090,Twitter,Image,42,153,547,63
11091,4046,Instagram,Image,943,858,452,61
11092,4015,Facebook,Text,2390,292,476,12
11093,4098,Instagram,Text,2545,579,286,50
11094,4044,Facebook,Text,2411,49,302,15
11095,4049,Twitter,Text,4986,663,310,34
11096,4075,Twitter,Video,1004,530,207,22
11097,4061,Facebook,Text,20,611,617,17
11098,4067,Twitter,Video,406,59,445,30
11099,4006,Twitter,Text,1014,166,669,77
11100,4009,Twitter,Video,4431,201,632,34
